,infuse_oa_lyr_2011,new_labels
827,E00000863,3
828,E00000864,4
829,E00000865,0
830,E00000866,4
831,E00000867,0
832,E00000868,3
833,E00000869,0
834,E00000870,4
835,E00000871,3
836,E00000872,2
837,E00000873,3
838,E00000874,3
839,E00000875,2
840,E00000876,1
841,E00000877,4
842,E00000878,4
843,E00000879,0
844,E00000880,4
845,E00000881,1
846,E00000882,2
847,E00000883,4
848,E00000884,2
849,E00000885,3
850,E00000887,4
851,E00000888,1
852,E00000890,2
853,E00000891,1
854,E00000892,0
855,E00000893,4
856,E00000894,2
857,E00000895,2
858,E00000896,4
859,E00000897,3
860,E00000898,1
861,E00000899,0
862,E00000900,4
863,E00000901,3
864,E00000902,0
865,E00000903,3
866,E00000904,3
867,E00000905,1
868,E00000906,3
869,E00000907,0
870,E00000908,0
871,E00000909,0
872,E00000910,4
873,E00000911,3
874,E00000912,3
875,E00000913,0
876,E00000914,4
877,E00000915,3
878,E00000916,4
879,E00000917,4
880,E00000918,0
881,E00000919,0
882,E00000920,0
883,E00000921,1
884,E00000922,4
885,E00000923,0
886,E00000924,4
887,E00000925,1
888,E00000926,0
889,E00000927,0
890,E00000928,0
891,E00000929,2
892,E00000930,2
893,E00000931,0
894,E00000932,4
895,E00000933,0
896,E00000934,0
897,E00000935,0
898,E00000936,2
899,E00000937,3
900,E00000938,0
901,E00000939,0
902,E00000940,0
903,E00000941,0
904,E00000942,3
905,E00000943,0
906,E00000944,0
907,E00000945,0
908,E00000947,0
909,E00000948,3
910,E00000949,0
911,E00000950,2
912,E00000951,1
913,E00000952,3
914,E00000953,0
915,E00000954,1
916,E00000955,2
917,E00000956,0
918,E00000957,0
919,E00000958,0
920,E00000959,0
921,E00000960,3
922,E00000961,4
923,E00000962,0
924,E00000963,0
925,E00000964,0
926,E00000965,1
927,E00000966,2
928,E00000967,0
929,E00000968,0
930,E00000969,2
931,E00000970,0
932,E00000971,2
933,E00000972,3
934,E00000973,3
935,E00000974,0
936,E00000975,1
937,E00000976,0
938,E00000977,2
939,E00000978,2
940,E00000979,2
941,E00000980,0
942,E00000981,3
943,E00000982,4
944,E00000983,3
945,E00000984,3
946,E00000985,0
947,E00000986,0
948,E00000987,4
949,E00000988,3
950,E00000989,0
951,E00000990,0
952,E00000991,0
953,E00000992,0
954,E00000993,4
955,E00000994,0
956,E00000995,2
957,E00000996,0
958,E00000997,2
959,E00000998,3
960,E00000999,2
961,E00001000,4
962,E00001001,2
963,E00001002,0
964,E00001003,0
965,E00001004,0
966,E00001005,0
967,E00001006,0
968,E00001007,2
969,E00001008,1
970,E00001009,0
971,E00001010,0
972,E00001011,2
973,E00001012,4
974,E00001013,1
975,E00001014,1
976,E00001015,1
977,E00001016,0
978,E00001017,1
979,E00001018,0
980,E00001019,1
981,E00001020,3
982,E00001021,0
983,E00001022,4
984,E00001023,0
985,E00001024,0
986,E00001025,3
987,E00001026,0
988,E00001027,1
989,E00001028,0
990,E00001029,4
991,E00001030,2
992,E00001031,1
993,E00001032,4
994,E00001033,0
995,E00001034,2
996,E00001035,1
997,E00001036,4
998,E00001037,2
999,E00001038,0
1000,E00001039,2
1001,E00001040,0
1002,E00001041,2
1003,E00001042,4
1004,E00001043,2
1005,E00001044,0
1006,E00001045,4
1007,E00001046,4
1008,E00001047,3
1009,E00001048,0
1010,E00001049,1
1011,E00001050,2
1012,E00001051,0
1013,E00001052,1
1014,E00001053,1
1015,E00001054,1
1016,E00001055,0
1017,E00001056,4
1018,E00001057,0
1019,E00001058,2
1020,E00001059,0
1021,E00001060,0
1022,E00001061,2
1023,E00001062,0
1024,E00001063,4
1025,E00001064,0
1026,E00001065,0
1027,E00001066,0
1028,E00001067,3
1029,E00001068,1
1030,E00001069,3
1031,E00001070,0
1032,E00001071,4
1033,E00001072,3
1034,E00001073,0
1035,E00001074,2
1036,E00001075,0
1037,E00001076,2
1038,E00001077,4
1039,E00001078,4
1040,E00001079,0
1041,E00001080,2
1042,E00001081,0
1043,E00001082,3
1044,E00001083,2
1045,E00001084,3
1046,E00001085,0
1047,E00001086,1
1048,E00001087,3
1049,E00001088,0
1050,E00001089,3
1051,E00001090,0
1052,E00001091,2
1053,E00001092,0
1054,E00001093,0
1055,E00001094,0
1056,E00001095,2
1057,E00001096,4
1058,E00001097,3
1059,E00001098,1
1060,E00001099,2
1061,E00001100,2
1062,E00001101,2
1063,E00001102,0
1064,E00001103,3
1065,E00001104,3
1066,E00001105,4
1067,E00001106,0
1068,E00001107,0
1069,E00001108,0
1070,E00001109,3
1071,E00001110,4
1072,E00001111,2
1073,E00001112,0
1074,E00001113,2
1075,E00001114,0
1076,E00001115,4
1077,E00001116,0
1078,E00001117,0
1079,E00001118,0
1080,E00001119,0
1081,E00001120,0
1082,E00001121,3
1083,E00001122,0
1084,E00001123,0
1085,E00001124,4
1086,E00001125,4
1087,E00001126,4
1088,E00001127,0
1089,E00001128,2
1090,E00001129,0
1091,E00001130,3
1092,E00001131,0
1093,E00001132,2
1094,E00001133,2
1095,E00001134,2
1096,E00001135,3
1097,E00001136,2
1098,E00001137,2
1099,E00001138,3
1100,E00001139,0
1101,E00001140,4
1102,E00001141,0
1103,E00001142,0
1104,E00001143,3
1105,E00001144,0
1106,E00001145,4
1107,E00001146,4
1108,E00001147,4
1109,E00001148,2
1110,E00001149,0
1111,E00001150,1
1112,E00001151,4
1113,E00001152,3
1114,E00001153,3
1115,E00001154,2
1116,E00001155,2
1117,E00001156,4
1118,E00001157,0
1119,E00001158,0
1120,E00001159,3
1121,E00001160,0
1122,E00001161,0
1123,E00001162,1
1124,E00001163,0
1125,E00001164,0
1126,E00001165,2
1127,E00001166,2
1128,E00001167,2
1129,E00001168,4
1130,E00001169,0
1131,E00001170,1
1132,E00001171,2
1133,E00001172,0
1134,E00001173,0
1135,E00001174,0
1136,E00001175,0
1137,E00001176,4
1138,E00001177,0
1139,E00001178,0
1140,E00001179,3
1141,E00001180,2
1142,E00001181,3
1143,E00001182,0
1144,E00001183,0
1145,E00001184,1
1146,E00001185,0
1147,E00001186,4
1148,E00001187,0
1149,E00001188,4
