,index,Agriculture,Green space and recreational land,High density residential with retail and commercial sites,Industrial areas,Large complex buildings various use (travel/recreation/ retail),Low density residential with amenities (suburbs and small villages / hamlets),Medium density residential with high streets and amenities,Principle Transport,Urban centres - mainly commercial/retail with residential pockets,Water,new_labels_0,new_labels_1,new_labels_2,new_labels_3,new_labels_4,new_labels_5,new_labels_6,new_labels_7,new_labels_8,supergroup
107,E00006449,0.0,16175.43,16999.23,4886.9,0.0,62116.4,147.95,0.0,0.0,0.0,4,0,5,0,4,3,0,4,5,5
108,E00006102,0.0,0.0,53585.74,0.0,0.0,7703.24,13145.32,0.0,0.0,0.0,1,0,2,0,0,1,0,4,1,8
109,E00015443,0.0,0.0,21063.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,6,5,3,2,1,0,4,2
110,E00175251,0.0,256.19,4628.71,0.0,0.0,0.0,0.0,0.0,2850.02,0.0,4,5,5,6,1,4,3,2,4,3
111,E00011318,0.0,1380.19,0.0,0.0,0.0,35091.21,5039.02,1150.46,0.0,0.0,3,3,4,1,4,4,3,4,2,8
112,E00019586,0.0,0.0,7.75,0.0,0.0,0.0,44802.0,0.0,0.0,0.0,5,1,6,6,1,3,3,3,4,8
113,E00015481,0.0,113.72,30525.31,5.85,0.0,0.0,0.0,0.0,0.0,0.0,5,3,6,7,4,1,3,4,2,3
114,E00021072,0.0,13841.0,11913.98,874.18,0.0,15784.18,0.0,0.0,0.0,0.0,2,3,5,0,3,3,1,2,4,5
115,E00006434,0.0,12596.089999999998,34609.92,0.0,0.0,29336.99,19561.01,0.0,0.0,1927.11,1,4,2,0,4,1,0,4,1,5
116,E00001551,0.0,12909.51,591.82,0.0,0.0,82363.76000000001,0.0,4709.27,0.0,0.0,1,3,2,0,4,1,0,2,1,5
117,E00012294,0.0,73685.26,0.0,0.0,0.0,38198.37,26030.35,11032.23,0.0,0.0,1,3,4,0,0,4,0,0,1,6
118,E00176546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8724.24,0.0,3,2,6,7,5,2,1,3,3,5
119,E00018233,0.0,0.0,13186.27,0.0,0.0,0.0,129.91,4046.37,8163.559999999999,0.0,1,5,0,0,4,1,2,3,1,3
120,E00005824,0.0,9827.62,3033.92,3600.52,0.0,18582.27,0.0,20866.22,0.0,0.0,1,0,2,0,0,1,0,1,0,5
121,E00010895,0.0,2949.95,0.0,0.0,0.0,17997.6,32695.59,0.0,0.0,0.0,3,4,1,4,3,3,4,2,1,5
122,E00022001,0.0,0.0,19084.13,267.85,0.0,0.0,0.0,0.0,312.33,0.0,2,6,5,5,2,0,1,3,1,5
123,E00003424,0.0,0.0,8583.14,0.0,0.0,0.0,9405.82,6037.14,0.0,0.0,5,1,6,1,0,4,2,3,1,3
124,E00000755,0.0,0.0,410.8,0.0,0.0,0.0,11547.2,0.0,0.0,0.0,3,6,5,1,5,3,4,3,2,2
125,E00017555,0.0,5717.27,9127.5,0.0,0.0,2529.27,10029.56,3727.19,0.0,0.0,3,1,3,4,1,1,4,2,1,5
126,E00004523,0.0,180.78,0.0,0.0,0.0,0.0,0.0,3342.2,19503.34,0.0,1,0,3,2,1,3,3,0,0,3
